0.001,0.0317053,0.00152423,0.440351,-3.48465e+58,-8.77298e+60,1.01342e+54,-1.07231e-07,2.08945e-06,-3.50171e-09,-0.000107231,0.00208945,-3.5016e-06,0.0361737,0.00152419,0.432079,1.20327e-06,6.27943e-06,3.60828e-05,0,0,0,0,0,0,3.81947e-08,-3.63112e-08,7.70475e-08,-2.94475e-07,5.999e-07,-4.87419e-07,2.6722e-08,-1.45204e-08,-8.36948e-09,1.68722e-07,0,0,
0.002,0.0317143,0.00151893,0.44035,0.00917219,-0.00590195,-0.00118993,-2.65343e-05,4.26123e-05,-4.10609e-05,-0.0264262,0.0405234,-0.0410568,0.0361737,0.0015242,0.432079,2.40611e-06,1.25557e-05,7.21476e-05,0,0,0,0,0,0,-8.24146e-05,-0.000224026,0.000316965,-1.1777e-06,2.3992e-06,-1.94935e-06,-0.00133999,-0.00129134,0.0146438,6.74775e-07,0,0,
0.003,0.0317229,0.00150634,0.440343,0.00875621,-0.0134073,-0.00812102,1.47417e-05,7.63863e-05,-8.14295e-05,0.0412781,0.0337715,-0.0403711,0.0361737,0.00152422,0.432079,3.60866e-06,1.88289e-05,0.000108194,0,0,0,0,0,0,-0.000223783,-0.000417284,0.000506799,-2.64939e-06,5.3973e-06,-4.38531e-06,-0.00238895,-0.00216826,0.0200498,1.51799e-06,0,0,
0.004,0.0317315,0.00149516,0.440326,0.00876475,-0.0121064,-0.0170658,9.09132e-05,0.000113785,-0.000121391,0.0761753,0.0373913,-0.0399691,0.0361737,0.00152424,0.432079,4.81111e-06,2.50988e-05,0.000144223,0,0,0,0,0,0,-0.000381542,-0.000603155,0.000589191,-4.70925e-06,9.5936e-06,-7.7948e-06,-0.00316669,-0.00283877,0.0216812,2.6982e-06,0,0,
0.005,0.03174,0.0014843,0.440299,0.00873238,-0.0118625,-0.0267406,0.000187442,0.000153508,-0.000161269,0.096534,0.0397091,-0.0398901,0.0361737,0.00152427,0.432079,6.0136e-06,3.13657e-05,0.000180234,0,0,0,0,0,0,-0.000544244,-0.000777536,0.000589197,-7.35697e-06,1.49875e-05,-1.21773e-05,-0.00372293,-0.00335601,0.0217689,4.21523e-06,0,0,
0.006,0.0317483,0.00147362,0.440263,0.00856568,-0.0117242,-0.0362418,0.000294347,0.000193381,-0.000201431,0.106913,0.0398534,-0.0401813,0.0361738,0.0015243,0.43208,7.2163e-06,3.76293e-05,0.000216226,0,0,0,0,0,0,-0.000705168,-0.000933255,0.000552597,-1.05923e-05,2.15784e-05,-1.75325e-05,-0.00415187,-0.00375437,0.0217689,6.06893e-06,0,0,
0.007,0.0317566,0.001463,0.440217,0.00857931,-0.011708,-0.0459069,0.000409476,0.000233122,-0.000241759,0.115137,0.0397159,-0.040352,0.0361738,0.00152434,0.43208,8.41936e-06,4.38898e-05,0.000252201,0,0,0,0,0,0,-0.000862653,-0.00107004,0.000485846,-1.44149e-05,2.93657e-05,-2.38596e-05,-0.00447204,-0.00404799,0.0217689,8.2591e-06,0,0,
0.008,0.0317648,0.00145241,0.440162,0.00857639,-0.011707,-0.0555092,0.000531467,0.000272757,-0.000282213,0.122001,0.0396025,-0.0404849,0.0361738,0.00152439,0.43208,9.62297e-06,5.01472e-05,0.000288157,0,0,0,0,0,0,-0.00101579,-0.00118789,0.000395094,-1.88244e-05,3.83488e-05,-3.11584e-05,-0.00470071,-0.00424771,0.0217689,1.07856e-05,0,0,
0.009,0.0317645,0.00145305,0.44013,-0.000303935,0.000149649,-0.031053,0.000580243,0.000255332,-0.000303716,0.0487717,-0.0174393,-0.0215157,0.0361738,0.00152444,0.43208,1.08273e-05,5.64013e-05,0.000324096,0,0,0,0,0,0,-0.00112356,-0.0012947,0.000356771,-2.38207e-05,4.85271e-05,-3.94283e-05,-0.00486523,-0.00451567,0.0217689,1.36482e-05,0,0,
0.01,0.0317575,0.00144672,0.440119,-0.00681981,-0.0073185,-0.0110647,0.000668891,0.000272658,-0.000344732,0.0886536,0.0172973,-0.04104,0.0361738,0.0015245,0.432081,1.20324e-05,6.26523e-05,0.000360016,0,0,0,0,0,0,-0.00123974,-0.00142463,0.000276349,-2.94033e-05,5.99e-05,-4.86688e-05,-0.00491172,-0.00462219,0.0217689,1.68469e-05,0,0,
0.011,0.0317518,0.00144113,0.440105,-0.00560531,-0.0065686,-0.0142431,0.000760415,0.000287483,-0.00038434,0.0915295,0.0147916,-0.0396333,0.0361738,0.00152457,0.432081,1.32386e-05,6.89001e-05,0.000395918,0,0,0,0,0,0,-0.00135183,-0.00153246,0.000187048,-3.55721e-05,7.24669e-05,-5.88794e-05,-0.00491173,-0.00465744,0.0217689,2.03813e-05,0,0,
0.012,0.031747,0.00143587,0.440089,-0.00459513,-0.00621602,-0.0159092,0.000849666,0.000299698,-0.000423305,0.0892559,0.0121797,-0.038991,0.0361738,0.00152464,0.432082,1.44459e-05,7.51447e-05,0.000431803,0,0,0,0,0,0,-0.00145243,-0.00161388,0.000105707,-4.23267e-05,8.62272e-05,-7.00596e-05,-0.00491173,-0.00465745,0.0217689,2.42514e-05,0,0,
0.013,0.0317432,0.00143092,0.440072,-0.00367149,-0.00586545,-0.0170136,0.000931619,0.0003096,-0.000461381,0.0819567,0.00986531,-0.038101,0.0361738,0.00152472,0.432082,1.56546e-05,8.13861e-05,0.000467669,0,0,0,0,0,0,-0.00153582,-0.00167072,3.19859e-05,-4.96668e-05,0.00010118,-8.2209e-05,-0.00491174,-0.00465745,0.0217689,2.8457e-05,0,0,
